isin_random,year,index,exec_name_random,exec_pos,exec_comp_total,pr_avg,pr_med,empl_comp_avg,empl_comp_med,empl_number_consid,FF_12_consumer_combined,FF_12_consumer_combined_text
FR16747496405,2021,CAC Mid 60,"Brown, Brittany",Chairman-CEO,1826250,37.6,49.5,32015,NA,NA,9,Shops
FR16747496405,2020,CAC Mid 60,"Brown, Brittany",Chairman-CEO,1444645,52.5,67.9,31655,NA,NA,9,Shops
FR16747496405,2019,CAC Mid 60,"Brown, Brittany",Chairman-CEO,1147220,27.1,34.9,31384,NA,NA,9,Shops
FR16747496405,2018,CAC Mid 60,"Brown, Brittany",Chairman-CEO,1380240,31,39.9,30526,NA,NA,9,Shops
FR16747496405,2017,CAC Mid 60,"Brown, Brittany",Chairman-CEO,2101520,36.9,47.4,30224,NA,NA,9,Shops
FR16747496405,2016,CAC Mid 60,"Brown, Brittany",Chairman-CEO,1947620,16.5,21.1,29891,NA,NA,9,Shops
FR16747496405,2015,CAC Mid 60,"Brown, Brittany",Chairman-CEO,1328508,17.1,21.5,28854,NA,NA,9,Shops
FR16777804445,2021,CAC Mid 60,"al-Firman, Labeeba",Statutory Manager General Partner,17681,22.9,26.4,NA,NA,NA,9,Shops
FR16777804445,2020,CAC Mid 60,"al-Firman, Labeeba",Statutory Manager General Partner,16741,18.6,24.4,NA,NA,NA,9,Shops
FR16777804445,2019,CAC Mid 60,"al-Firman, Labeeba",Statutory Manager General Partner,16768,20.8,28,NA,NA,NA,9,Shops
FR16777804445,2018,CAC Mid 60,"al-Firman, Labeeba",Statutory Manager General Partner,17798,35.1,41.5,NA,NA,NA,9,Shops
FR16777804445,2017,CAC Mid 60,"al-Firman, Labeeba",Statutory Manager General Partner,18533,32.4,39.5,NA,NA,NA,9,Shops
FR16777804445,2016,CAC Mid 60,"al-Firman, Labeeba",Statutory Manager General Partner,26203,33.7,42.3,NA,NA,NA,9,Shops
FR16777804445,2015,CAC Mid 60,"al-Firman, Labeeba",Statutory Manager General Partner,NA,13.4,25.9,NA,NA,NA,9,Shops
FR17152641772,2021,CAC Mid 60,"Bell, Tronson",Chairman and Chief Executive Officer,1110220,10.4,12.47,NA,NA,NA,6,Business Equipment
FR17152641772,2020,CAC Mid 60,"Bell, Tronson",Chairman and Chief Executive Officer,409791,5.31,6.17,NA,NA,NA,6,Business Equipment
FR17152641772,2019,CAC Mid 60,"Bell, Tronson",Chairman and Chief Executive Officer,268834,4.21,5.16,NA,NA,NA,6,Business Equipment
FR17152641772,2018,CAC Mid 60,"Bell, Tronson",Chairman and Chief Executive Officer,838176,12.61,15.79,NA,NA,NA,6,Business Equipment
FR17152641772,2017,CAC Mid 60,"Bell, Tronson",Chairman and Chief Executive Officer,875347,12.35,17.3,NA,NA,NA,6,Business Equipment
FR17152641772,2016,CAC Mid 60,"Bell, Tronson",Chairman and Chief Executive Officer,NA,NA,NA,NA,NA,NA,6,Business Equipment
FR17152641772,2015,CAC Mid 60,"Bell, Tronson",Chairman and Chief Executive Officer,NA,NA,NA,NA,NA,NA,6,Business Equipment
FR18237172682,2021,CAC Mid 60,"Aichlmayr, Martin",Chief Executive Officer and Chairman,1183710,14.4,18.5,NA,NA,NA,8,Utilities
FR18237172682,2020,CAC Mid 60,"Aichlmayr, Martin",Chief Executive Officer and Chairman,1134360,7.7,11.3,NA,NA,NA,8,Utilities
FR18237172682,2019,CAC Mid 60,"Aichlmayr, Martin",Chief Executive Officer and Chairman,95872,10.8,13.4,NA,NA,NA,8,Utilities
FR18237172682,2018,CAC Mid 60,"al-Sattar, Warda",CEO,76723,8.4,10.1,NA,NA,NA,8,Utilities
FR18237172682,2017,CAC Mid 60,"al-Sattar, Warda",CEO,55113,6.4,8,NA,NA,NA,8,Utilities
FR18237172682,2016,CAC Mid 60,"al-Sattar, Warda",CEO,1193350,8.3,10.8,NA,NA,NA,8,Utilities
FR18237172682,2015,CAC Mid 60,"al-Sattar, Warda",CEO,680900,8.1,9.7,NA,NA,NA,8,Utilities
FR20799149247,2021,CAC Mid 60,"Barrientos, Jared",CEO,NA,19,22,50287,49477,NA,6,Business Equipment
FR20799149247,2020,CAC Mid 60,"Barrientos, Jared",CEO,609021,14,16,50514,42611,NA,6,Business Equipment
FR20799149247,2019,CAC Mid 60,"Barrientos, Jared",CEO,775816,20,24,50157,42595,NA,6,Business Equipment
FR20799149247,2018,CAC Mid 60,"Barrientos, Jared",CEO,942488,13,16,48502,40873,NA,6,Business Equipment
FR20799149247,2017,CAC Mid 60,"Barrientos, Jared",CEO,1014401,17,20,48106,41179,NA,6,Business Equipment
FR20799149247,2016,CAC Mid 60,"Barrientos, Jared",CEO,844277,14,17,46601,40190,NA,6,Business Equipment
FR20799149247,2015,CAC Mid 60,"Barrientos, Jared",CEO,537022,12.4,14,43186,38246,NA,6,Business Equipment
FR21731557625,2021,CAC Mid 60,"Le, Timmy",CEO,5128273,60,84,48931,33983,NA,1,Consumer
FR21731557625,2020,CAC Mid 60,"Le, Timmy",CEO,2911211,57,81,49682,35169,NA,1,Consumer
FR21731557625,2019,CAC Mid 60,"Le, Timmy",CEO,2858587,49,71,55781,38353,NA,1,Consumer
FR21731557625,2018,CAC Mid 60,"Le, Timmy",CEO,2389385,38,55,54934,37780,NA,1,Consumer
FR21731557625,2017,CAC Mid 60,"Chasson, Kainoa",Chairman and Chief Executive Officer,204000,NA,NA,NA,NA,NA,1,Consumer
FR21731557625,2016,CAC Mid 60,"Chasson, Kainoa",Chairman and Chief Executive Officer,200000,NA,NA,NA,NA,NA,1,Consumer
FR21731557625,2015,CAC Mid 60,"Le, Timmy",CEO,4753006,NA,NA,NA,NA,NA,1,Consumer
FR23298632416,2021,CAC Mid 60,"Sweetwater, Anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR23298632416,2020,CAC Mid 60,"Sweetwater, Anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR23298632416,2019,CAC Mid 60,"Sweetwater, Anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR23298632416,2018,CAC Mid 60,"Sweetwater, Anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR23298632416,2017,CAC Mid 60,"Sweetwater, Anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR23298632416,2016,CAC Mid 60,"Sweetwater, Anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR23298632416,2015,CAC Mid 60,"Sweetwater, Anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR27390964478,2021,CAC Mid 60,"Wells, Christopher",Chairman of the Management Board,2952693,35.5,57.2,NA,NA,NA,12,Other
FR27390964478,2020,CAC Mid 60,"Wells, Christopher",Chairman of the Management Board,2759503,28.7,45.7,NA,NA,NA,12,Other
FR27390964478,2019,CAC Mid 60,"Wells, Christopher",Chairman of the Management Board,3491573,35.1,56.3,99416,NA,NA,12,Other
FR27390964478,2018,CAC Mid 60,"Wells, Christopher",Chairman of the Management Board,3707976,37.9,63.1,97767,NA,NA,12,Other
FR27390964478,2017,CAC Mid 60,"Wells, Christopher",Chairman of the Management Board,3440920,41.4,63,83151,NA,NA,12,Other
FR27390964478,2016,CAC Mid 60,"Wells, Christopher",Chairman of the Management Board,4192643,46.6,77.3,90006,NA,NA,12,Other
FR27390964478,2015,CAC Mid 60,"Wells, Christopher",Chairman of the Management Board,3227512,35.6,59.3,90615,NA,NA,12,Other
FR27827985782,2021,CAC Mid 60,"Madison, Israel",CEO,884221,10.1,12.2,60786,50450,1302,10,Healthcare
FR27827985782,2020,CAC Mid 60,"Madison, Israel",CEO,579838,NA,NA,55537,NA,1193,10,Healthcare
FR27827985782,2019,CAC Mid 60,"Madison, Israel",CEO,555361,39,NA,53343,NA,NA,10,Healthcare
FR27827985782,2018,CAC Mid 60,"Madison, Israel",CEO,528031,35,NA,50914,NA,NA,10,Healthcare
FR27827985782,2017,CAC Mid 60,"Madison, Israel",CEO,443560,29,NA,50553,NA,NA,10,Healthcare
FR27827985782,2016,CAC Mid 60,"Madison, Israel",CEO,480644,40,NA,48834,NA,NA,10,Healthcare
FR27827985782,2015,CAC Mid 60,"Madison, Israel",CEO,460088,31,NA,NA,NA,NA,10,Healthcare
FR30401729827,2021,CAC Mid 60,"el-Shahidi, Waliyya",CEO,846683,8.63,9.74,NA,NA,NA,12,Other
FR30401729827,2020,CAC Mid 60,"el-Shahidi, Waliyya",CEO,403651,5.23,5.75,NA,NA,NA,12,Other
FR30401729827,2019,CAC Mid 60,"el-Shahidi, Waliyya",CEO,387069,4.44,4.96,NA,NA,NA,12,Other
FR30401729827,2018,CAC Mid 60,"el-Shahidi, Waliyya",CEO,321278,4.31,4.79,NA,NA,NA,12,Other
FR30401729827,2017,CAC Mid 60,"el-Shahidi, Waliyya",CEO,321278,4.41,4.96,NA,NA,NA,12,Other
FR30401729827,2016,CAC Mid 60,"el-Shahidi, Waliyya",CEO,NA,4.45,5.03,NA,NA,NA,12,Other
FR30401729827,2015,CAC Mid 60,"el-Shahidi, Waliyya",CEO,NA,NA,NA,NA,NA,NA,12,Other
FR34938845611,2021,CAC Mid 60,"Hepp, Cameron",Chief Executive Officer and Chairman,NA,NA,NA,NA,NA,NA,NA,NA
FR34938845611,2020,CAC Mid 60,"al-Hariri, Minnah",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR34938845611,2019,CAC Mid 60,"Hepp, Cameron",Chief Executive Officer and Chairman,NA,20.9,NA,95000,NA,NA,NA,NA
FR34938845611,2018,CAC Mid 60,"Hepp, Cameron",Chief Executive Officer and Chairman,NA,19.6,NA,89000,NA,NA,NA,NA
FR34938845611,2017,CAC Mid 60,"Hepp, Cameron",Chief Executive Officer and Chairman,NA,NA,NA,90000,NA,NA,NA,NA
FR34938845611,2016,CAC Mid 60,"Hepp, Cameron",Chief Executive Officer and Chairman,NA,NA,NA,91000,NA,NA,NA,NA
FR34938845611,2015,CAC Mid 60,"Hepp, Cameron",Chief Executive Officer and Chairman,NA,NA,NA,94000,NA,NA,NA,NA
FR36261603892,2021,CAC Mid 60,"el-Bey, Jumaima",CEO,384000,NA,NA,NA,NA,NA,6,Business Equipment
FR36261603892,2020,CAC Mid 60,"el-Bey, Jumaima",CEO,2597318,59.3,75.9,NA,NA,NA,6,Business Equipment
FR36261603892,2019,CAC Mid 60,"el-Bey, Jumaima",CEO,2339100,59.7,77.7,NA,NA,NA,6,Business Equipment
FR36261603892,2018,CAC Mid 60,"el-Bey, Jumaima",CEO,2188752,58.3,76.5,NA,NA,NA,6,Business Equipment
FR36261603892,2017,CAC Mid 60,"el-Bey, Jumaima",CEO,3642168,94.1,129.7,NA,NA,NA,6,Business Equipment
FR36261603892,2016,CAC Mid 60,"el-Bey, Jumaima",CEO,384000,11.9,13.8,NA,NA,NA,6,Business Equipment
FR36261603892,2015,CAC Mid 60,"el-Bey, Jumaima",CEO,384000,9.9,13.7,NA,NA,38800,6,Business Equipment
FR36856280979,2021,CAC Mid 60,"al-Guler, Zulfa",CEO,1121407,51.66,60.51,NA,NA,NA,9,Shops
FR36856280979,2020,CAC Mid 60,"al-Guler, Zulfa",CEO,9108541.6,317.47,377.72,NA,NA,NA,9,Shops
FR36856280979,2019,CAC Mid 60,"al-Guler, Zulfa",CEO,939961,104.52,122.95,NA,NA,NA,9,Shops
FR36856280979,2018,CAC Mid 60,"al-Guler, Zulfa",CEO,2986436.6,156.52,185.04,NA,NA,NA,9,Shops
FR36856280979,2017,CAC Mid 60,"al-Guler, Zulfa",CEO,676067.15,115.42,136.68,NA,NA,NA,9,Shops
FR36856280979,2016,CAC Mid 60,"el-Saadeh, Aslam",Chief Executive Officer and Chairman,993191,145.36,172.57,NA,NA,NA,9,Shops
FR36856280979,2015,CAC Mid 60,"el-Saadeh, Aslam",Chief Executive Officer and Chairman,1826951,179.35,213.77,NA,NA,NA,9,Shops
FR37112874107,2021,CAC Mid 60,"Pigford, Chase",Chief Executive Officer and Memeber of the Executive Board,2392519,22,26.4,NA,NA,376,12,Other
FR37112874107,2020,CAC Mid 60,"Pigford, Chase",Chief Executive Officer and Memeber of the Executive Board,1177606,43.5,60.4,NA,NA,2547,12,Other
FR37112874107,2019,CAC Mid 60,"Pigford, Chase",Chief Executive Officer and Memeber of the Executive Board,2067431,49.5,67.2,NA,NA,2547,12,Other
FR37112874107,2018,CAC Mid 60,"Pigford, Chase",Chief Executive Officer and Memeber of the Executive Board,2025085,44.9,60.7,NA,NA,2547,12,Other
FR37112874107,2017,CAC Mid 60,"Pigford, Chase",Chief Executive Officer and Memeber of the Executive Board,1765929,63,83,NA,NA,2547,12,Other
FR37112874107,2016,CAC Mid 60,"Pigford, Chase",Chief Executive Officer and Memeber of the Executive Board,2395338,64.5,83.2,NA,NA,2691,12,Other
FR37112874107,2015,CAC Mid 60,"Pigford, Chase",Chief Executive Officer and Memeber of the Executive Board,2333530,34.8,41.6,63905,NA,NA,12,Other
FR38736949339,2021,CAC Mid 60,"Iese Jr, Alexander",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR38736949339,2020,CAC Mid 60,"Iese Jr, Alexander",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR38736949339,2019,CAC Mid 60,"Iese Jr, Alexander",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR38736949339,2018,CAC Mid 60,"Iese Jr, Alexander",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR38736949339,2017,CAC Mid 60,"Iese Jr, Alexander",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR38736949339,2016,CAC Mid 60,"Iese Jr, Alexander",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR38736949339,2015,CAC Mid 60,"Iese Jr, Alexander",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR40313369827,2021,CAC Mid 60,"Rivera, Vincent",CEO,2481535,42,53,61528,NA,NA,6,Business Equipment
FR40313369827,2020,CAC Mid 60,"Rivera, Vincent",CEO,3994845,36,44,69417,NA,1121,6,Business Equipment
FR40313369827,2019,CAC Mid 60,"Rivera, Vincent",CEO,1283467,60,80,66817,NA,NA,6,Business Equipment
FR40313369827,2018,CAC Mid 60,"Rivera, Vincent",CEO,2901512,14,16,76971,NA,NA,6,Business Equipment
FR40313369827,2017,CAC Mid 60,"Rivera, Vincent",CEO,1015825,16,18,62731,NA,NA,6,Business Equipment
FR40313369827,2016,CAC Mid 60,"Rivera, Vincent",CEO,965345,50,18,61543,NA,NA,6,Business Equipment
FR40313369827,2015,CAC Mid 60,"Rivera, Vincent",CEO,660206,21,71,49279,NA,NA,6,Business Equipment
FR43033358971,2021,CAC Mid 60,"Whiteplume, Jordyn",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR43033358971,2020,CAC Mid 60,"Whiteplume, Jordyn",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR43033358971,2019,CAC Mid 60,"Whiteplume, Jordyn",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR43033358971,2018,CAC Mid 60,"Whiteplume, Jordyn",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR43033358971,2017,CAC Mid 60,"Whiteplume, Jordyn",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR43033358971,2016,CAC Mid 60,"Whiteplume, Jordyn",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR43033358971,2015,CAC Mid 60,"Whiteplume, Jordyn",NA,NA,NA,NA,NA,NA,NA,NA,NA
FR44314176745,2021,CAC Mid 60,"el-Wahab, Qamraaa",Chairman and Chief Executive Officer,4397883,54,62,80000,NA,NA,12,Other
FR44314176745,2020,CAC Mid 60,"el-Wahab, Qamraaa",Chairman and Chief Executive Officer,3283179,30,33,82000,NA,NA,12,Other
FR44314176745,2019,CAC Mid 60,"el-Wahab, Qamraaa",Chairman and Chief Executive Officer,3702998,41,46,78000,NA,NA,12,Other
FR44314176745,2018,CAC Mid 60,"el-Wahab, Qamraaa",Chairman and Chief Executive Officer,1982111,30,33,76000,NA,NA,12,Other
FR44314176745,2017,CAC Mid 60,"el-Wahab, Qamraaa",Chairman and Chief Executive Officer,NA,NA,NA,NA,NA,NA,12,Other
FR44314176745,2016,CAC Mid 60,"el-Wahab, Qamraaa",Chairman and Chief Executive Officer,NA,NA,NA,NA,NA,NA,12,Other
FR44314176745,2015,CAC Mid 60,"el-Wahab, Qamraaa",Chairman and Chief Executive Officer,NA,NA,NA,NA,NA,NA,12,Other
FR47159046502,2021,CAC Mid 60,"el-Basha, Faadi",Chairman and Chief Executive Officer,2181440,23.36,26.8,NA,NA,296,12,Other
FR47159046502,2020,CAC Mid 60,"el-Basha, Faadi",Chairman and Chief Executive Officer,2107807,24.59,28.74,NA,NA,296,12,Other
FR47159046502,2019,CAC Mid 60,"el-Basha, Faadi",Chairman and Chief Executive Officer,1544678,20.44,24.47,92862,77559,296,12,Other
FR47159046502,2018,CAC Mid 60,"el-Basha, Faadi",Chairman and Chief Executive Officer,737696,20.97,25.83,93245,75716,296,12,Other
FR47159046502,2017,CAC Mid 60,"el-Basha, Faadi",Chairman and Chief Executive Officer,687120,8.37,9.65,81189,70442,296,12,Other
FR47159046502,2016,CAC Mid 60,"el-Basha, Faadi",Chairman and Chief Executive Officer,667021,8.76,9.94,73695,64924,NA,12,Other
FR47159046502,2015,CAC Mid 60,"el-Basha, Faadi",Chairman and Chief Executive Officer,1722652,23.7,26.7,72692,64509,NA,12,Other
FR47202818205,2021,CAC Mid 60,"al-Yusuf, Hazeela",CEO,492466,7.7,9,63181,54420,NA,11,Finance
FR47202818205,2020,CAC Mid 60,"al-Yusuf, Hazeela",CEO,440000,6.9,8.5,62324,50499,NA,11,Finance
FR47202818205,2019,CAC Mid 60,"al-Yusuf, Hazeela",CEO,450000,6.6,8,60468,50128,NA,11,Finance
FR47202818205,2018,CAC Mid 60,"al-Yusuf, Hazeela",CEO,298333.31,7.3,9,62103,50763,NA,11,Finance
FR47202818205,2017,CAC Mid 60,"al-Yusuf, Hazeela",CEO,450000,6.9,8.6,62089,50158,NA,11,Finance
FR47202818205,2016,CAC Mid 60,"al-Yusuf, Hazeela",CEO,450000,7.5,9.3,60279,48367,NA,11,Finance
FR47202818205,2015,CAC Mid 60,"al-Yusuf, Hazeela",CEO,450000,7.3,9.5,61251,47531,NA,11,Finance
FR47762412438,2021,CAC Mid 60,"Elliott, Shea",CEO,4504630,58.9,76.4,67555,NA,NA,12,Other
FR47762412438,2020,CAC Mid 60,"Elliott, Shea",CEO,4102990,24.56,32.63,135469,NA,NA,12,Other
FR47762412438,2019,CAC Mid 60,"Elliott, Shea",CEO,1081956,30.46,44.14,122003,NA,NA,12,Other
FR47762412438,2018,CAC Mid 60,"Elliott, Shea",CEO,1391550,20.3,30.17,121166,NA,NA,12,Other
FR47762412438,2017,CAC Mid 60,"Cardona Ledezma, Lynette",Chairman and Chief Executive Officer,3670004,32.07,44.7,110486,NA,NA,12,Other
FR47762412438,2016,CAC Mid 60,"Cardona Ledezma, Lynette",Chairman and Chief Executive Officer,3109091,30.16,39.88,103518,NA,NA,12,Other
FR47762412438,2015,CAC Mid 60,"Cardona Ledezma, Lynette",Chairman and Chief Executive Officer,3307891,30.97,40.56,99824,NA,NA,12,Other
FR47802334332,2021,CAC Mid 60,"Skublickas, Jalen",CEO,2565457,18.8,26.7,115446,NA,NA,11,Finance
FR47802334332,2020,CAC Mid 60,"Skublickas, Jalen",CEO,2168376,23.9,31.7,106310,NA,NA,11,Finance
FR47802334332,2019,CAC Mid 60,"Skublickas, Jalen",CEO,2158094,22.4,28.9,96202,NA,NA,11,Finance
FR47802334332,2018,CAC Mid 60,"Skublickas, Jalen",CEO,2049611,19.2,26.6,106533,NA,NA,11,Finance
FR47802334332,2017,CAC Mid 60,"Skublickas, Jalen",CEO,2085213,20.1,27.3,103650,NA,NA,11,Finance
FR47802334332,2016,CAC Mid 60,"Skublickas, Jalen",CEO,2059636,21.2,28.7,97309,NA,NA,11,Finance
FR47802334332,2015,CAC Mid 60,"Skublickas, Jalen",CEO,2050470,22,30.3,93000,68000,NA,11,Finance
FR48158418051,2021,CAC Mid 60,"al-Hana, Faai Z",CEO,2984576,43.3,55.8,NA,NA,NA,3,Manufacturing
FR48158418051,2020,CAC Mid 60,"al-Hana, Faai Z",CEO,2593115,32.1,41.6,NA,NA,NA,3,Manufacturing
FR48158418051,2019,CAC Mid 60,"Klaasen, Nam",Chairman and Chief Executive Officer,5273225,60.6,81,NA,NA,NA,3,Manufacturing
FR48158418051,2018,CAC Mid 60,"Klaasen, Nam",Chairman and Chief Executive Officer,5114059,68.7,89.2,NA,NA,NA,3,Manufacturing
FR48158418051,2017,CAC Mid 60,"Klaasen, Nam",Chairman and Chief Executive Officer,5063233,67.8,89.2,NA,NA,NA,3,Manufacturing
FR48158418051,2016,CAC Mid 60,"Klaasen, Nam",Chairman and Chief Executive Officer,4845644,67.3,88,NA,NA,NA,3,Manufacturing
FR48158418051,2015,CAC Mid 60,"Klaasen, Nam",Chairman and Chief Executive Officer,5243896,77.9,104,NA,NA,NA,3,Manufacturing
FR48343781242,2021,CAC Mid 60,"Abrams, Cierra",Chairman of the Management Board,NA,59.3,95.1,49354,30785,NA,3,Manufacturing
FR48343781242,2020,CAC Mid 60,"Abrams, Cierra",Chairman of the Management Board,1081464,15.9,23.3,49462,33774,NA,3,Manufacturing
FR48343781242,2019,CAC Mid 60,"Abrams, Cierra",Chairman of the Management Board,1911095,42.2,60.8,45192,31363,NA,3,Manufacturing
FR48343781242,2018,CAC Mid 60,"Abrams, Cierra",Chairman of the Management Board,2050131,52.4,74.3,45370,31991,NA,3,Manufacturing
FR48343781242,2017,CAC Mid 60,"Abrams, Cierra",Chairman of the Management Board,2145167,51.9,74.2,41703,29188,NA,3,Manufacturing
FR48343781242,2016,CAC Mid 60,"Abrams, Cierra",Chairman of the Management Board,1557997,19.7,28.1,45530,32006,NA,3,Manufacturing
FR48343781242,2015,CAC Mid 60,"Abrams, Cierra",Chairman of the Management Board,802404,30.2,40.3,43062,32263,NA,3,Manufacturing
FR53869009688,2021,CAC Mid 60,"Lynn, Leo",Chairman and Chief Executive Officer,903687,31.6,36.2,28612,24997,NA,1,Consumer
