isin_random,year,index,exec_name_random,exec_pos,exec_comp_total,pr_avg,pr_med,empl_comp_avg,empl_comp_med,empl_number_consid
FR17417377687,2020,CAC Mid 60,"el-Jamail, Tameema",Chairman of the Management Board,1081464,15.9,23.3,49462,33774,NA
FR17417377687,2019,CAC Mid 60,"el-Jamail, Tameema",Chairman of the Management Board,1911095,42.2,60.8,45192,31363,NA
FR17417377687,2018,CAC Mid 60,"el-Jamail, Tameema",Chairman of the Management Board,2050131,52.4,74.3,45370,31991,NA
FR17417377687,2017,CAC Mid 60,"el-Jamail, Tameema",Chairman of the Management Board,2145167,51.9,74.2,41703,29188,NA
FR17417377687,2016,CAC Mid 60,"el-Jamail, Tameema",Chairman of the Management Board,1557997,19.7,28.1,45530,32006,NA
FR17417377687,2015,CAC Mid 60,"el-Jamail, Tameema",Chairman of the Management Board,802404,30.2,40.3,43062,32263,NA
FR18928281071,2021,CAC Mid 60,"al-Shahidi, Mumina",Chairman and Chief Executive Officer,1713820,47.5,57.4,NA,NA,NA
FR18928281071,2020,CAC Mid 60,"al-Shahidi, Mumina",Chairman and Chief Executive Officer,1663725,38.7,46.7,NA,NA,NA
FR18928281071,2019,CAC Mid 60,"al-Shahidi, Mumina",Chairman and Chief Executive Officer,1651316,41.5,50.4,NA,NA,NA
FR18928281071,2018,CAC Mid 60,"al-Shahidi, Mumina",Chairman and Chief Executive Officer,1604703,40.4,49.1,NA,NA,NA
FR18928281071,2017,CAC Mid 60,"al-Shahidi, Mumina",Chairman and Chief Executive Officer,1570621,35.8,43.3,NA,NA,NA
FR18928281071,2016,CAC Mid 60,"al-Shahidi, Mumina",Chairman and Chief Executive Officer,1507825,30.6,37.1,NA,NA,NA
FR18928281071,2015,CAC Mid 60,"al-Shahidi, Mumina",Chairman and Chief Executive Officer,1510761,31.7,38.6,NA,NA,NA
FR19952843529,2021,CAC Mid 60,"Perkins, J'Quan",CEO,884221,10.1,12.2,60786,50450,1302
FR19952843529,2020,CAC Mid 60,"Perkins, J'Quan",CEO,579838,NA,NA,55537,NA,1193
FR19952843529,2019,CAC Mid 60,"Perkins, J'Quan",CEO,555361,39,NA,53343,NA,NA
FR19952843529,2018,CAC Mid 60,"Perkins, J'Quan",CEO,528031,35,NA,50914,NA,NA
FR19952843529,2017,CAC Mid 60,"Perkins, J'Quan",CEO,443560,29,NA,50553,NA,NA
FR19952843529,2016,CAC Mid 60,"Perkins, J'Quan",CEO,480644,40,NA,48834,NA,NA
FR19952843529,2015,CAC Mid 60,"Perkins, J'Quan",CEO,460088,31,NA,NA,NA,NA
FR24937867117,2021,CAC Mid 60,"Tefft, Sharonica",Chairman of the Executive Board,5858782,30.2,37.5,75155,60595,NA
FR24937867117,2020,CAC Mid 60,"Tefft, Sharonica",Chairman of the Executive Board,1798060,25.6,30,70136,59979,NA
FR24937867117,2019,CAC Mid 60,"Tefft, Sharonica",Chairman of the Executive Board,2169070,30.2,37.2,71864,58274,NA
FR24937867117,2018,CAC Mid 60,"Tefft, Sharonica",Chairman of the Executive Board,2210140,31.2,38.9,70715,56715,NA
FR24937867117,2017,CAC Mid 60,"Tefft, Sharonica",Chairman of the Executive Board,2497108,32.9,43.8,75786,57046,NA
FR24937867117,2016,CAC Mid 60,"Tefft, Sharonica",Chairman of the Executive Board,3039836,35.6,46.6,70416,53764,NA
FR24937867117,2015,CAC Mid 60,"Tefft, Sharonica",Chairman of the Executive Board,1942124,27.8,37.1,70811,53085,NA
FR25263544959,2021,CAC Mid 60,"al-Abood, Aarif",CEO,4763803,85,120,NA,NA,NA
FR25263544959,2020,CAC Mid 60,"al-Abood, Aarif",CEO,2767028,72.4,97.9,NA,NA,NA
FR25263544959,2019,CAC Mid 60,"al-Abood, Aarif",CEO,3622228,70,94.6,NA,NA,NA
FR25263544959,2018,CAC Mid 60,"al-Abood, Aarif",CEO,3378300,66.5,90.9,NA,NA,NA
FR25263544959,2017,CAC Mid 60,"al-Abood, Aarif",CEO,3426255,63.7,86.1,NA,NA,NA
FR25263544959,2016,CAC Mid 60,"al-Abood, Aarif",CEO,3384524,61.4,83.5,NA,NA,NA
FR25263544959,2015,CAC Mid 60,"al-Abood, Aarif",CEO,2309875.93,NA,NA,NA,NA,NA
FR26035643886,2021,CAC Mid 60,"Le, Dixa",CEO,1297090,45,56,NA,NA,NA
FR26035643886,2020,CAC Mid 60,"Le, Dixa",CEO,2092242,44,54,NA,NA,NA
FR26035643886,2019,CAC Mid 60,"Le, Dixa",CEO,2171927,44,54,NA,NA,NA
FR26035643886,2018,CAC Mid 60,"Le, Dixa",CEO,2486022,39,49,NA,NA,NA
FR26035643886,2017,CAC Mid 60,"Le, Dixa",CEO,2904802,24,29,NA,NA,NA
FR26035643886,2016,CAC Mid 60,"Le, Dixa",CEO,1556319,18,22,NA,NA,NA
FR26035643886,2015,CAC Mid 60,"Le, Dixa",CEO,2667097,53,64,NA,NA,NA
FR28128644398,2021,CAC Mid 60,"Ortiz, Cassandra",CEO,NA,35,52,55792,37704,NA
FR28128644398,2020,CAC Mid 60,"Ortiz, Cassandra",CEO,NA,24,34,56593,39655,NA
FR28128644398,2019,CAC Mid 60,"Ortiz, Cassandra",CEO,NA,23,40,52151,30251,NA
FR28128644398,2018,CAC Mid 60,"Ortiz, Cassandra",CEO,NA,31,44,53477,38012,NA
FR28128644398,2017,CAC Mid 60,"Ortiz, Cassandra",CEO,NA,30,42,50907,36624,NA
FR28128644398,2016,CAC Mid 60,"Ortiz, Cassandra",CEO,NA,39,55,50484,35881,NA
FR28128644398,2015,CAC Mid 60,"Ortiz, Cassandra",CEO,NA,NA,NA,NA,NA,NA
FR28391778490,2021,CAC Mid 60,"Moore, Annastacia",Chairman and Chief Executive Officer,2181440,23.36,26.8,NA,NA,296
FR28391778490,2020,CAC Mid 60,"Moore, Annastacia",Chairman and Chief Executive Officer,2107807,24.59,28.74,NA,NA,296
FR28391778490,2019,CAC Mid 60,"Moore, Annastacia",Chairman and Chief Executive Officer,1544678,20.44,24.47,92862,77559,296
FR28391778490,2018,CAC Mid 60,"Moore, Annastacia",Chairman and Chief Executive Officer,737696,20.97,25.83,93245,75716,296
FR28391778490,2017,CAC Mid 60,"Moore, Annastacia",Chairman and Chief Executive Officer,687120,8.37,9.65,81189,70442,296
FR28391778490,2016,CAC Mid 60,"Moore, Annastacia",Chairman and Chief Executive Officer,667021,8.76,9.94,73695,64924,NA
FR28391778490,2015,CAC Mid 60,"Moore, Annastacia",Chairman and Chief Executive Officer,1722652,23.7,26.7,72692,64509,NA
FR28523077986,2021,CAC Mid 60,"Nichols, Christian",CEO,2609526,NA,NA,NA,NA,NA
FR28523077986,2020,CAC Mid 60,"Nichols, Christian",CEO,634743,10.3,14.1,112712,NA,NA
FR28523077986,2019,CAC Mid 60,"Nichols, Christian",CEO,1950646,15.4,22.9,126915,NA,NA
FR28523077986,2018,CAC Mid 60,"Nichols, Christian",CEO,1089577,16,24.4,126064,NA,NA
FR28523077986,2017,CAC Mid 60,"Nichols, Christian",CEO,2815242,21.4,34.9,131739,NA,NA
FR28523077986,2016,CAC Mid 60,"Nichols, Christian",CEO,1914761,15.2,24.5,125697,NA,NA
FR28523077986,2015,CAC Mid 60,"Nichols, Christian",CEO,2059372,17.3,27,118847,NA,NA
FR29140383466,2021,CAC Mid 60,"Sutton, Nicole",NA,NA,NA,NA,NA,NA,NA
FR29140383466,2020,CAC Mid 60,"Sutton, Nicole",NA,NA,NA,NA,NA,NA,NA
FR29140383466,2019,CAC Mid 60,"Sutton, Nicole",NA,NA,NA,NA,NA,NA,NA
FR29140383466,2018,CAC Mid 60,"Sutton, Nicole",NA,NA,NA,NA,NA,NA,NA
FR29140383466,2017,CAC Mid 60,"Sutton, Nicole",NA,NA,NA,NA,NA,NA,NA
FR29140383466,2016,CAC Mid 60,"Sutton, Nicole",NA,NA,NA,NA,NA,NA,NA
FR29140383466,2015,CAC Mid 60,"Sutton, Nicole",NA,NA,NA,NA,NA,NA,NA
FR30895423777,2021,CAC Mid 60,"Flores Felix, Drew",CEO,5128273,60,84,48931,33983,NA
FR30895423777,2020,CAC Mid 60,"Flores Felix, Drew",CEO,2911211,57,81,49682,35169,NA
FR30895423777,2019,CAC Mid 60,"Flores Felix, Drew",CEO,2858587,49,71,55781,38353,NA
FR30895423777,2018,CAC Mid 60,"Flores Felix, Drew",CEO,2389385,38,55,54934,37780,NA
FR30895423777,2017,CAC Mid 60,"Huacuja Espinoza, Damian",Chairman and Chief Executive Officer,204000,NA,NA,NA,NA,NA
FR30895423777,2016,CAC Mid 60,"Huacuja Espinoza, Damian",Chairman and Chief Executive Officer,200000,NA,NA,NA,NA,NA
FR30895423777,2015,CAC Mid 60,"Flores Felix, Drew",CEO,4753006,NA,NA,NA,NA,NA
FR31982084864,2021,CAC Mid 60,"Cooper, Stephen",CEO,4277094,20.24,25.96,58656,NA,NA
FR31982084864,2020,CAC Mid 60,"Cooper, Stephen",CEO,2744511,30.51,39.63,59261,NA,NA
FR31982084864,2019,CAC Mid 60,"Cooper, Stephen",CEO,3668456,38.78,50.57,63696,NA,NA
FR31982084864,2018,CAC Mid 60,"Cooper, Stephen",CEO,962167,13.89,18,64814,NA,NA
FR31982084864,2017,CAC Mid 60,"Gaitan, Arturo",Chairman and Chief Executive Officer,1110000,13.99,18,60914,NA,NA
FR31982084864,2016,CAC Mid 60,"Gaitan, Arturo",Chairman and Chief Executive Officer,533600,17.74,22.55,60040,NA,NA
FR31982084864,2015,CAC Mid 60,"Gaitan, Arturo",Chairman and Chief Executive Officer,1062000,10.97,14.55,58792,NA,NA
FR32124934790,2021,CAC Mid 60,"Shih, Charles",Chairman and Chief Executive Officer,2891506,5,7,299002,221728,NA
FR32124934790,2020,CAC Mid 60,"Shih, Charles",Chairman and Chief Executive Officer,1553095,10,13,277431,212681,NA
FR32124934790,2019,CAC Mid 60,"Shih, Charles",Chairman and Chief Executive Officer,2729095,8,11,352018,260472,NA
FR32124934790,2018,CAC Mid 60,"Shih, Charles",Chairman and Chief Executive Officer,2787545,7,10,328974,251902,NA
FR32124934790,2017,CAC Mid 60,"Shih, Charles",Chairman and Chief Executive Officer,2464145,7,11,415095,255548,NA
FR32124934790,2016,CAC Mid 60,"Shih, Charles",Chairman and Chief Executive Officer,2870438,6,11,444525,269460,NA
FR32124934790,2015,CAC Mid 60,"Shih, Charles",Chairman and Chief Executive Officer,2871850,8,9,314730,258937,NA
FR39460830090,2021,CAC Mid 60,"al-Sheikh, Mushtaaqa",Chairman and Chief Executive Officer,806000,19,22,NA,NA,NA
FR39460830090,2020,CAC Mid 60,"al-Sheikh, Mushtaaqa",Chairman and Chief Executive Officer,5055353,127,143,NA,NA,NA
FR39460830090,2019,CAC Mid 60,"al-Sheikh, Mushtaaqa",Chairman and Chief Executive Officer,802834,20,23,NA,NA,NA
FR39460830090,2018,CAC Mid 60,"al-Sheikh, Mushtaaqa",Chairman and Chief Executive Officer,762289,19,22,NA,NA,NA
FR39460830090,2017,CAC Mid 60,"al-Sheikh, Mushtaaqa",Chairman and Chief Executive Officer,575811,15,17,NA,NA,NA
FR39460830090,2016,CAC Mid 60,"al-Sheikh, Mushtaaqa",Chairman and Chief Executive Officer,125811,15,17,NA,NA,NA
FR39460830090,2015,CAC Mid 60,"al-Sheikh, Mushtaaqa",Chairman and Chief Executive Officer,125811,9,10,NA,NA,NA
FR40324421576,2021,CAC Mid 60,"Meeks, Isaiah",CEO,2064418,24.67,32,71820,NA,NA
FR40324421576,2020,CAC Mid 60,"Meeks, Isaiah",CEO,1642694,27.43,35.15,73315,NA,NA
FR40324421576,2019,CAC Mid 60,"Meeks, Isaiah",CEO,1927268,27.22,34.75,77806,NA,NA
FR40324421576,2018,CAC Mid 60,"Meeks, Isaiah",CEO,1943369,26.93,34.9,72795,NA,NA
FR40324421576,2017,CAC Mid 60,"Meeks, Isaiah",CEO,1952252,26.21,34.05,73952,NA,NA
FR40324421576,2016,CAC Mid 60,"Meeks, Isaiah",CEO,3795202,47.5,68.39,80512,NA,NA
FR40324421576,2015,CAC Mid 60,"Meeks, Isaiah",CEO,1739236,24.1,31.23,69194,NA,NA
FR41226861255,2021,CAC Mid 60,"Reed, Whitney",CEO,1098645,10.3,13.1,NA,NA,NA
FR41226861255,2020,CAC Mid 60,"Reed, Whitney",CEO,867137,8.8,10.9,NA,NA,NA
FR41226861255,2019,CAC Mid 60,"Reed, Whitney",CEO,1171606,12.2,15,NA,NA,NA
FR41226861255,2018,CAC Mid 60,"Reed, Whitney",CEO,1051103,10.9,13.7,NA,NA,NA
FR41226861255,2017,CAC Mid 60,"Reed, Whitney",CEO,1233058,13.4,16.8,NA,NA,NA
FR41226861255,2016,CAC Mid 60,"Reed, Whitney",CEO,702487,NA,NA,NA,NA,NA
FR41226861255,2015,CAC Mid 60,"el-Younes, Mufeeda",NA,NA,NA,NA,NA,NA,NA
FR43351952952,2021,CAC Mid 60,"Treguier, Thomas",Chief Executive Officer and Chairman,NA,NA,NA,NA,NA,NA
FR43351952952,2020,CAC Mid 60,"el-Mitri, Mahuroos",NA,NA,NA,NA,NA,NA,NA
FR43351952952,2019,CAC Mid 60,"Treguier, Thomas",Chief Executive Officer and Chairman,NA,20.9,NA,95000,NA,NA
FR43351952952,2018,CAC Mid 60,"Treguier, Thomas",Chief Executive Officer and Chairman,NA,19.6,NA,89000,NA,NA
FR43351952952,2017,CAC Mid 60,"Treguier, Thomas",Chief Executive Officer and Chairman,NA,NA,NA,90000,NA,NA
FR43351952952,2016,CAC Mid 60,"Treguier, Thomas",Chief Executive Officer and Chairman,NA,NA,NA,91000,NA,NA
FR43351952952,2015,CAC Mid 60,"Treguier, Thomas",Chief Executive Officer and Chairman,NA,NA,NA,94000,NA,NA
FR46112109685,2021,CAC Mid 60,"Bongiorno, Kaitlyn",CEO,384000,NA,NA,NA,NA,NA
FR46112109685,2020,CAC Mid 60,"Bongiorno, Kaitlyn",CEO,2597318,59.3,75.9,NA,NA,NA
FR46112109685,2019,CAC Mid 60,"Bongiorno, Kaitlyn",CEO,2339100,59.7,77.7,NA,NA,NA
FR46112109685,2018,CAC Mid 60,"Bongiorno, Kaitlyn",CEO,2188752,58.3,76.5,NA,NA,NA
FR46112109685,2017,CAC Mid 60,"Bongiorno, Kaitlyn",CEO,3642168,94.1,129.7,NA,NA,NA
FR46112109685,2016,CAC Mid 60,"Bongiorno, Kaitlyn",CEO,384000,11.9,13.8,NA,NA,NA
FR46112109685,2015,CAC Mid 60,"Bongiorno, Kaitlyn",CEO,384000,9.9,13.7,NA,NA,38800
FR47864701601,2021,CAC Mid 60,"Siewiyumptewa, Addam",NA,NA,NA,NA,NA,NA,NA
FR47864701601,2020,CAC Mid 60,"Siewiyumptewa, Addam",NA,NA,NA,NA,NA,NA,NA
FR47864701601,2019,CAC Mid 60,"Siewiyumptewa, Addam",NA,NA,NA,NA,NA,NA,NA
FR47864701601,2018,CAC Mid 60,"Siewiyumptewa, Addam",NA,NA,NA,NA,NA,NA,NA
FR47864701601,2017,CAC Mid 60,"Siewiyumptewa, Addam",NA,NA,NA,NA,NA,NA,NA
FR47864701601,2016,CAC Mid 60,"Siewiyumptewa, Addam",NA,NA,NA,NA,NA,NA,NA
FR47864701601,2015,CAC Mid 60,"Siewiyumptewa, Addam",NA,NA,NA,NA,NA,NA,NA
FR48010435970,2021,CAC Mid 60,"Honnen, Breanna",Chief Executive Officer and Memeber of the Executive Board,2392519,22,26.4,NA,NA,376
FR48010435970,2020,CAC Mid 60,"Honnen, Breanna",Chief Executive Officer and Memeber of the Executive Board,1177606,43.5,60.4,NA,NA,2547
FR48010435970,2019,CAC Mid 60,"Honnen, Breanna",Chief Executive Officer and Memeber of the Executive Board,2067431,49.5,67.2,NA,NA,2547
FR48010435970,2018,CAC Mid 60,"Honnen, Breanna",Chief Executive Officer and Memeber of the Executive Board,2025085,44.9,60.7,NA,NA,2547
FR48010435970,2017,CAC Mid 60,"Honnen, Breanna",Chief Executive Officer and Memeber of the Executive Board,1765929,63,83,NA,NA,2547
FR48010435970,2016,CAC Mid 60,"Honnen, Breanna",Chief Executive Officer and Memeber of the Executive Board,2395338,64.5,83.2,NA,NA,2691
FR48010435970,2015,CAC Mid 60,"Honnen, Breanna",Chief Executive Officer and Memeber of the Executive Board,2333530,34.8,41.6,63905,NA,NA
FR48389131843,2021,CAC Mid 60,"el-Jamal, Sanad",Chairman of the Executive Board,4086846,13.4,24,NA,NA,NA
FR48389131843,2020,CAC Mid 60,"el-Jamal, Sanad",Chairman of the Executive Board,4044731,12.2,19.5,NA,NA,NA
FR48389131843,2019,CAC Mid 60,"el-Jamal, Sanad",Chairman of the Executive Board,4718199,12.7,22.1,NA,NA,NA
FR48389131843,2018,CAC Mid 60,"el-Jamal, Sanad",Chairman of the Executive Board,4440937,12.3,22.7,NA,NA,NA
FR48389131843,2017,CAC Mid 60,"el-Jamal, Sanad",Chairman of the Executive Board,3666453,13.2,22.9,277943,NA,NA
FR48389131843,2016,CAC Mid 60,"el-Jamal, Sanad",Chairman of the Executive Board,3273355,12.3,23,NA,NA,NA
FR48389131843,2015,CAC Mid 60,"el-Jamal, Sanad",Chairman of the Executive Board,3186638,13.19,22.94,241536,NA,NA
FR48997245645,2021,CAC Mid 60,"Seeley, Sandora",CEO,2104732,22,30,56300,42600,NA
FR48997245645,2020,CAC Mid 60,"Meraz, Jorge",Chairman and Chief Executive Officer,1518828,27,36,57000,42000,NA
FR48997245645,2019,CAC Mid 60,"Meraz, Jorge",Chairman and Chief Executive Officer,2016356,36,48,56000,42100,NA
FR48997245645,2018,CAC Mid 60,"Meraz, Jorge",Chairman and Chief Executive Officer,4265787,51,69,54700,40700,NA
FR48997245645,2017,CAC Mid 60,"Meraz, Jorge",Chairman and Chief Executive Officer,2034500,52,70,53600,39400,NA
FR48997245645,2016,CAC Mid 60,"Meraz, Jorge",Chairman and Chief Executive Officer,2034500,56,73,49300,38200,NA
FR48997245645,2015,CAC Mid 60,"Meraz, Jorge",Chairman and Chief Executive Officer,1950000,42,53,46900,36700,NA
FR49635039221,2021,CAC Mid 60,"Boden, Harley",CEO,3445784,5.05,4.78,NA,NA,NA
FR49635039221,2020,CAC Mid 60,"Boden, Harley",CEO,3132032,5.53,5.77,NA,NA,NA
FR49635039221,2019,CAC Mid 60,"Boden, Harley",CEO,3072139,4.86,4.27,NA,NA,NA
FR49635039221,2018,CAC Mid 60,"Boden, Harley",CEO,NA,3.69,3.42,NA,NA,NA
FR49635039221,2017,CAC Mid 60,"Manivong, Bambi",Chairman and Chief Executive Officer,NA,5.64,6.09,NA,NA,NA
FR49635039221,2016,CAC Mid 60,"Manivong, Bambi",Chairman and Chief Executive Officer,NA,7.34,8.19,NA,NA,NA
FR49635039221,2015,CAC Mid 60,"Manivong, Bambi",Chairman and Chief Executive Officer,NA,7.83,8.68,NA,NA,NA
FR49755645922,2021,CAC Mid 60,"Maddrey, Ryan",CEO,492466,7.7,9,63181,54420,NA
FR49755645922,2020,CAC Mid 60,"Maddrey, Ryan",CEO,440000,6.9,8.5,62324,50499,NA
FR49755645922,2019,CAC Mid 60,"Maddrey, Ryan",CEO,450000,6.6,8,60468,50128,NA
FR49755645922,2018,CAC Mid 60,"Maddrey, Ryan",CEO,298333.31,7.3,9,62103,50763,NA
FR49755645922,2017,CAC Mid 60,"Maddrey, Ryan",CEO,450000,6.9,8.6,62089,50158,NA
FR49755645922,2016,CAC Mid 60,"Maddrey, Ryan",CEO,450000,7.5,9.3,60279,48367,NA
FR49755645922,2015,CAC Mid 60,"Maddrey, Ryan",CEO,450000,7.3,9.5,61251,47531,NA
FR49779342275,2021,CAC Mid 60,"Stacy, Caitlyn",CEO,1121407,51.66,60.51,NA,NA,NA
FR49779342275,2020,CAC Mid 60,"Stacy, Caitlyn",CEO,9108541.6,317.47,377.72,NA,NA,NA
FR49779342275,2019,CAC Mid 60,"Stacy, Caitlyn",CEO,939961,104.52,122.95,NA,NA,NA
FR49779342275,2018,CAC Mid 60,"Stacy, Caitlyn",CEO,2986436.6,156.52,185.04,NA,NA,NA
FR49779342275,2017,CAC Mid 60,"Stacy, Caitlyn",CEO,676067.15,115.42,136.68,NA,NA,NA
FR49779342275,2016,CAC Mid 60,"Gonzales, Christian",Chief Executive Officer and Chairman,993191,145.36,172.57,NA,NA,NA
FR49779342275,2015,CAC Mid 60,"Gonzales, Christian",Chief Executive Officer and Chairman,1826951,179.35,213.77,NA,NA,NA
FR50326118231,2021,CAC Mid 60,"Mikelson, Amber",Chairman and Chief Executive Officer,458488,7.77,8.93,57936,50390,NA
FR50326118231,2020,CAC Mid 60,"Mikelson, Amber",Chairman and Chief Executive Officer,428507,7.4,8.37,56757,50172,NA
FR50326118231,2019,CAC Mid 60,"Mikelson, Amber",Chairman and Chief Executive Officer,456402,7.54,8.32,59689,54054,NA
FR50326118231,2018,CAC Mid 60,"Mikelson, Amber",Chairman and Chief Executive Officer,456165,7.7,8.53,58417,52779,NA
FR50326118231,2017,CAC Mid 60,"Mikelson, Amber",Chairman and Chief Executive Officer,456165,7.7,8.54,57881,52155,NA
FR50326118231,2016,CAC Mid 60,"Mikelson, Amber",Chairman and Chief Executive Officer,450473,7.92,8.77,56825,51324,NA
FR50326118231,2015,CAC Mid 60,"Mikelson, Amber",Chairman and Chief Executive Officer,454883,8.21,9.03,54324,49370,NA
FR52119405837,2021,CAC Mid 60,"Fox, Tiffany",CEO,4834350,4,4,NA,NA,NA
FR52119405837,2020,CAC Mid 60,"Fox, Tiffany",CEO,4813566,4,4,NA,NA,NA
FR52119405837,2019,CAC Mid 60,"Fox, Tiffany",CEO,5078059,3,3,NA,NA,NA
FR52119405837,2018,CAC Mid 60,"Fox, Tiffany",CEO,3126561,4,3,NA,NA,NA
FR52119405837,2017,CAC Mid 60,"Fox, Tiffany",CEO,3914446,3,3,NA,NA,NA
FR52119405837,2016,CAC Mid 60,"Begaye, Ashley",Chairman and Chief Executive Officer,3107891,5,6,NA,NA,NA
FR52119405837,2015,CAC Mid 60,"Begaye, Ashley",Chairman and Chief Executive Officer,3595287,5,7,NA,NA,NA
FR52234266074,2021,CAC Mid 60,"Marentes, Juanito",Chairman of the Executive Board,5253357,15.21,37.49,307655,124795,NA
FR52234266074,2020,CAC Mid 60,"Marentes, Juanito",Chairman of the Executive Board,4378160,13.66,33.56,321984,131070,NA
FR52234266074,2019,CAC Mid 60,"Marentes, Juanito",Chairman of the Executive Board,5928938,19.27,38.56,290463,145150,NA
FR52234266074,2018,CAC Mid 60,"Marentes, Juanito",Chairman of the Executive Board,4589915,19.31,38.8,245083,121938,NA
FR52234266074,2017,CAC Mid 60,"Marentes, Juanito",Chairman of the Executive Board,2632827,18.53,36.64,250664,126800,NA
FR52234266074,2016,CAC Mid 60,"Marentes, Juanito",Chairman of the Executive Board,3967869,19.4,37.74,205948,105852,NA
FR52234266074,2015,CAC Mid 60,"Marentes, Juanito",Chairman of the Executive Board,4123820,19.5,34.95,208915,NA,NA
FR52606985482,2021,CAC Mid 60,"al-Momin, Kifaaya",CEO,4504630,58.9,76.4,67555,NA,NA
FR52606985482,2020,CAC Mid 60,"al-Momin, Kifaaya",CEO,4102990,24.56,32.63,135469,NA,NA
FR52606985482,2019,CAC Mid 60,"al-Momin, Kifaaya",CEO,1081956,30.46,44.14,122003,NA,NA
FR52606985482,2018,CAC Mid 60,"al-Momin, Kifaaya",CEO,1391550,20.3,30.17,121166,NA,NA
FR52606985482,2017,CAC Mid 60,"Gonzalez, Andrew",Chairman and Chief Executive Officer,3670004,32.07,44.7,110486,NA,NA
FR52606985482,2016,CAC Mid 60,"Gonzalez, Andrew",Chairman and Chief Executive Officer,3109091,30.16,39.88,103518,NA,NA
FR52606985482,2015,CAC Mid 60,"Gonzalez, Andrew",Chairman and Chief Executive Officer,3307891,30.97,40.56,99824,NA,NA
FR53769419456,2021,CAC Mid 60,"Akiyama, Christian",CEO,2481535,42,53,61528,NA,NA
FR53769419456,2020,CAC Mid 60,"Akiyama, Christian",CEO,3994845,36,44,69417,NA,1121
FR53769419456,2019,CAC Mid 60,"Akiyama, Christian",CEO,1283467,60,80,66817,NA,NA
FR53769419456,2018,CAC Mid 60,"Akiyama, Christian",CEO,2901512,14,16,76971,NA,NA
FR53769419456,2017,CAC Mid 60,"Akiyama, Christian",CEO,1015825,16,18,62731,NA,NA
FR53769419456,2016,CAC Mid 60,"Akiyama, Christian",CEO,965345,50,18,61543,NA,NA
FR53769419456,2015,CAC Mid 60,"Akiyama, Christian",CEO,660206,21,71,49279,NA,NA
FR53897288721,2021,CAC Mid 60,"Pacheco, Alyssa",NA,NA,NA,NA,NA,NA,NA
FR53897288721,2020,CAC Mid 60,"Pacheco, Alyssa",NA,NA,NA,NA,NA,NA,NA
FR53897288721,2019,CAC Mid 60,"Pacheco, Alyssa",NA,NA,NA,NA,NA,NA,NA
FR53897288721,2018,CAC Mid 60,"Pacheco, Alyssa",NA,NA,NA,NA,NA,NA,NA
FR53897288721,2017,CAC Mid 60,"Pacheco, Alyssa",NA,NA,NA,NA,NA,NA,NA
FR53897288721,2016,CAC Mid 60,"Pacheco, Alyssa",NA,NA,NA,NA,NA,NA,NA
FR53897288721,2015,CAC Mid 60,"Pacheco, Alyssa",NA,NA,NA,NA,NA,NA,NA
FR54420350911,2021,CAC Mid 60,"Anderson, Austin",CEO,9727934,47.7,65.5,73495,53533,NA
FR54420350911,2020,CAC Mid 60,"Anderson, Austin",CEO,362480,108.6,181.4,83197,49795,NA
FR54420350911,2019,CAC Mid 60,"Anderson, Austin",CEO,NA,24.4,32.2,66592,50376,NA
FR54420350911,2018,CAC Mid 60,"Anderson, Austin",CEO,2051710,33.6,46.4,68003,49217,NA
